ANNEE,C_REGION,L_REGION,C_DEPT,N_DEPT,C_TYP_REG_DECHET,L_TYP_REG_DECHET,TONNAGE_OMA_T,POPULATION,RATIO_OMA
2009,11,Ile-de-France,95,Val-d'Oise,08B,"Emballages, journaux-magazines",39218.12176,1168892,33.551535
2009,11,Ile-de-France,95,Val-d'Oise,08C,Verre,21443.5504,1168892,18.345193
2009,28,Normandie,14,Calvados,08A,Ordures ménagères résiduelles,211650.49288,680908,310.835667
2009,28,Normandie,14,Calvados,08B,"Emballages, journaux-magazines",34710.32933,680908,50.976533
2009,28,Normandie,14,Calvados,08C,Verre,23729.81218,680908,34.850247
2009,28,Normandie,27,Eure,08A,Ordures ménagères résiduelles,167151.83357,582822,286.797398
2009,28,Normandie,27,Eure,08B,"Emballages, journaux-magazines",23927.73099,582822,41.054955
2009,28,Normandie,27,Eure,08C,Verre,17999.70988,582822,30.883717
2009,28,Normandie,50,Manche,08A,Ordures ménagères résiduelles,137505.17815,497762,276.246837
2009,28,Normandie,50,Manche,08B,"Emballages, journaux-magazines",29742.48503,497762,59.752421
2009,28,Normandie,50,Manche,08C,Verre,22646.71953,497762,45.497084
2009,28,Normandie,61,Orne,08A,Ordures ménagères résiduelles,77694.99948,292210,265.887544
2009,28,Normandie,61,Orne,08B,"Emballages, journaux-magazines",11966.61874,292210,40.952119
2009,28,Normandie,61,Orne,08C,Verre,10001.45319,292210,34.226936
2009,28,Normandie,76,Seine-Maritime,08A,Ordures ménagères résiduelles,392610.40609,1250120,314.058175
2009,28,Normandie,76,Seine-Maritime,08B,"Emballages, journaux-magazines",52903.46775,1250120,42.318711
2009,28,Normandie,76,Seine-Maritime,08C,Verre,34739.61231,1250120,27.789022
2009,28,Normandie,76,Seine-Maritime,08D,Déchets de produits alimentaires,3078,1250120,2.462163
2009,75,Nouvelle-Aquitaine,16,Charente,08A,Ordures ménagères résiduelles,81491.9,351563,231.798852
2009,75,Nouvelle-Aquitaine,16,Charente,08B,"Emballages, journaux-magazines",21075.9,351563,59.949141
2009,75,Nouvelle-Aquitaine,16,Charente,08C,Verre,11827,351563,33.641196
